序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
180,2024/2/21,5321,53211,美而快一,4.95,2,3,無擔保,7,1700,100,2024/2/19,88.3,92,1.0351,95.97826087,104,0.083578709,105.95,0.10389581,台新證券,數位雲端,212,5336,3.138823529,25.16981132,2024/2/15,170,2024/3/4,180116430,0.5,116.3,105.95
181,2024/2/26,6150,61506,撼訊六,4.83,4,3,無擔保,8,3400,100,2024/2/22,91.6,90.2,1.02,101.5521064,104,0.024104803,105.95,0.043306769,宏遠證券,電腦及週邊設備業,321,9991,2.938529412,31.12461059,2024/2/20,340,2024/3/7,362909500,0.5,111.88,106.74
182,2024/2/26,3272,32723,東碩三,6.12,3,5,無擔保,6,2550,100,2024/2/22,34.05,34.2,1.02,99.56140351,104,0.044581498,105.95,0.064167401,凱基證券,電腦及週邊設備業,363,11968,4.693333333,32.96969697,2024/2/20,255,2024/3/7,277763680,0.5,114.5,108.93
183,2024/2/29,8092,80924,建暐四,5.18,1.7,3,有擔保,9,1530,100,2024/2/26,21,14.5,1.0211,144.8275862,137,-0.054047619,139.45,-0.037130952,國票證券,其他電子業,297,8859,5.790196078,29.82828283,2024/2/22,153,2024/3/11,213351730,0.5,150,139.45
184,2024/5/13,3483,34834,力致四,8.61,2,3,無擔保,6,1700,101,2024/5/9,162,168,1.0489,96.42857143,117.11,0.214474074,118.57,0.229614815,永豐金證,電腦及週邊設備業,847,18767,11.03941176,22.15702479,2024/5/7,170,2024/5/22,201571750,0.5,175,118.57
185,2024/5/15,8433,84332,弘帆二,5.38,1,3,無擔保,6,850,100,2024/5/13,98.4,102,1.02,96.47058824,112.69,0.168128049,114.11,0.182847561,玉山證券,居家生活,217,4649,5.469411765,21.42396313,2024/5/9,85,2024/5/24,96995240,0.5,118.7,114.11
186,2024/5/16,6840,68401,東研信超,2.53,2,3,無擔保,6,1765,100,2024/5/14,72,73.4,1.0209,98.09264305,102,0.039833333,105.36,0.074086667,康和證券,其他電子業,73,2501,1.416997167,34.26027397,2024/5/10,176,2024/5/27,185965080,0.5,115.5,105.36
187,2024/5/16,6117,61171,迎廣,8.87,5,3,無擔保,8,4250,100,2024/5/14,88.3,84,1.021,105.1190476,108.2,0.029309173,111.35,0.059275198,台新證券,電腦及週邊設備業,378,11705,2.754117647,30.96560847,2024/5/10,425,2024/5/27,473245760,0.5,119.33,111.35
188,2024/5/21,8467,84672,波力KY二,5.13,2,3,有擔保,6,1785,100,2024/5/17,175,193.6,1.1,90.39256198,112.3,0.242358857,114.7,0.268909714,富邦證券,運動休閒,316,7982,4.471708683,25.25949367,2024/5/15,178,2024/5/30,204740980,0.5,122.1,114.7
189,2024/5/22,6515,65151,穎崴一,3.48,10,3,無擔保,5,8500,103,2024/5/20,862,886,1.02,97.29119639,115.06,0.182635267,116.37,0.1961,凱基證券,半導體業,1093,42297,4.976117647,38.69807868,2024/5/16,850,2024/5/31,989124920,0.5,150,116.37
190,2024/6/7,3583,35832,辛耘二,8.03,10,3,無擔保,5,8500,100,2024/6/5,327,347.5,1.02,94.10071942,116.2,0.234847095,117.07,0.244092508,富邦證券,半導體業,1271,52260,6.148235294,41.11723053,2024/6/3,850,2024/6/19,995128300,0.7,123,117.07
191,2024/6/12,6125,61255,廣運五,24.9,6,3,無擔保,6,5100,102,2024/6/7,115.5,114,1.0224,101.3157895,116.8,0.152831169,118.47,0.169314286,元大證券,光電業,1110,37410,7.335294118,33.7027027,2024/6/5,510,2024/6/21,604203250,0.7,130.2,118.47
192,2024/6/13,1560,15601,中砂一,14.51,10,5,無擔保,4,8500,101,2024/6/11,281,292.1,1.02,96.19993153,117.59,0.222350142,118.38,0.230562206,凱基證券,電機機械,1203,47963,5.642705882,39.86949293,2024/6/6,850,2024/6/24,1006198670,0.5,250,118.38
193,2024/6/24,6509,65096,聚和六,17.35,5,3,無擔保,5,4250,100,2024/6/20,42,41.5,1.03,101.2048193,113.39,0.12040119,115.46,0.140854762,凱基證券,化學工業,648,23856,5.613176471,36.81481481,2024/6/18,425,2024/7/3,490711700,0.5,120.89,115.46
194,2024/6/26,6624,66241,萬年清一,2.09,1,3,有擔保,7,850,101,2024/6/24,39.6,42.2,1.03,93.83886256,111.03,0.183198485,113.98,0.214635354,玉山證券,綠能環保,150,3646,4.289411765,24.30666667,2024/6/20,85,2024/7/5,96880960,0.5,123,113.98
195,2024/7/1,6187,61875,萬潤五,9.01,5,3,無擔保,5,4250,104,2024/6/27,263,288,1.0997,91.31944444,118.69,0.299723194,119.63,0.31001673,兆豐證券,其他電子業,1091,37764,8.885647059,34.61411549,2024/6/25,425,2024/7/10,508441750,0.7,158,119.63
196,2024/7/4,8478,84781,東哥一,8.89,15,3,無擔保,5,12750,100,2024/7/2,415.5,392.2,1.02,105.9408465,117.24,0.106655307,119.19,0.125061805,凱基證券,運動休閒,1199,42763,3.353960784,35.66555463,2024/6/28,1275,2024/7/15,1519688420,0.5,331,119.19
197,2024/7/5,3362,33621,先進光一,14.25,12,5,有擔保,6,10200,102,2024/7/3,267,254,1.02,105.1181102,121.88,0.159457678,123.26,0.172585768,中信證券,光電業,1126,40154,3.936666667,35.660746,2024/7/1,1020,2024/7/16,1257260300,1,211,123.26
198,2024/7/5,4572,45721,駐龍一,3.9,5,3,無擔保,6,4250,100,2024/7/3,161.5,175,1.1218,92.28571429,114.8,0.243962848,116.21,0.259241486,台新證券,電機機械,656,19337,4.549882353,29.47713415,2024/7/1,425,2024/7/16,493887420,0.5,123.88,116.21
199,2024/7/11,2439,24395,美律五,22.42,5,3,無擔保,3,4250,100,2024/7/9,141,139,1.02,101.4388489,118.89,0.17203617,120.31,0.186034752,富邦證券,通信網路業,672,19467,4.580470588,28.96875,2024/7/5,425,2024/7/22,511303890,0.5,127.5,120.31
200,2024/7/12,9933,99332,中鼎二,81.03,60,5,無擔保,3,51006,102,2024/7/10,52.2,53.9,1.0208,96.84601113,102.95,0.063027778,104.82,0.082336782,國泰證券,其他業,1198,91716,1.798141395,76.55759599,2024/7/8,5100,2024/7/23,5346565560,0.5,120.1,104.82
201,2024/7/17,2641,26417,正德七,30.39,5.9,3,無擔保,6,5015,101,2024/7/15,20.4,22.7,1.02,89.86784141,102.69,0.142677941,104.88,0.167047059,群益證券,航運業,220,10432,2.080159521,47.41818182,2024/7/11,501,2024/7/26,525993010,0.5,120,104.88
202,2024/7/22,6269,62695,台郡五,32.25,20,3,無擔保,4,17000,100,2024/7/18,95,93,1.0288,102.1505376,113.17,0.107874737,115.07,0.126474737,元大證券,電子零組件業,1067,55394,3.258470588,51.91565136,2024/7/16,1700,2024/8/2,1956252970,0.5,120.87,115.07
203,2024/8/6,3518,35181,柏騰一,9.6,3,3,有擔保,7,2550,100,2024/8/2,37.7,35,1.0792,107.7142857,115.53,0.072559682,118.63,0.101339523,台新證券,其他電子業,316,9655,3.78627451,30.55379747,2024/7/31,255,2024/8/15,302506160,0.5,125.5,118.63
204,2024/8/6,6830,68301,汎銓一,5.18,5,3,無擔保,5,4250,100,2024/8/2,135,150,1.0613,90,108.02,0.200222222,110.28,0.225333333,台新證券,其他電子業,387,14920,3.510588235,38.55297158,2024/7/31,425,2024/8/15,468669620,0.5,116.8,110.28
205,2024/8/7,8927,89277,北基七,35.47,5.9,3,有擔保,7,5160,104,2024/8/5,59.4,68.27,1.02,87.00747034,109.45,0.257937963,111.53,0.281843956,合庫證券,油電燃氣業,270,15772,3.056589147,58.41481481,2024/8/1,516,2024/8/16,575520300,1,118,111.53
206,2024/8/14,3376,33763,新日興三,19.57,8,5,無擔保,4,6800,100,2024/8/12,209,202,1.02,103.4653465,119.21,0.152173206,120.85,0.168023923,凱基證券,電子零組件業,964,44980,6.614705882,46.65975104,2024/8/8,680,2024/8/23,821809070,0.5,128,120.85
207,2024/8/19,3491,34912,昇達科二,6.38,10,5,無擔保,5,8500,101,2024/8/15,315.5,305.3,1.0601,103.3409761,116.3,0.125400634,118.03,0.142141331,凱基證券,通信網路業,629,26213,3.083882353,41.67408585,2024/8/13,850,2024/8/28,1003264850,0.5,128.8,118.03
208,2024/8/20,2228,22283,劍麟三,7.58,3,3,無擔保,5,2700,100,2024/8/16,93.6,95.51,1.06,98.0002094,112.87,0.151732233,114.2,0.165303632,凱基證券,汽車工業,360,13687,5.069259259,38.01944444,2024/8/14,270,2024/8/29,308341820,0.5,117.73,114.2
209,2024/8/21,3691,36913,碩禾三,9.19,20,3,有擔保,7,17000,100,2024/8/19,114,118,1.0415,96.61016949,104.55,0.082184211,109.03,0.12855614,宏遠證券,光電業,455,28032,1.648941176,61.60879121,2024/8/15,1702,2024/8/30,1856319140,0.5,121,109.03
210,2024/8/22,1595,15952,川寶二,4.79,3,3,無擔保,6,2700,100,2024/8/20,38.8,38.3,1.05,101.305483,107.5,0.061146907,109.82,0.084047938,福邦證券,電子零組件業,319,9580,3.548148148,30.03134796,2024/8/16,270,2024/9/2,296527160,0.5,117.99,109.82
211,2024/8/23,3564,35642,其陽二,5.91,5,3,無擔保,6,4250,100,2024/8/21,89.6,85,1.027,105.4117647,111.89,0.061456473,114.32,0.084508929,台新證券,通信網路業,381,11420,2.687058824,29.97375328,2024/8/19,425,2024/9/3,485859560,0.5,119.77,114.32
212,2024/9/4,6629,66292,泰金二KY,3.6,3,3,無擔保,6,2550,100,2024/9/2,142.5,135,1.02,105.5555556,114.3,0.082842105,116.79,0.106431579,元大證券,居家生活,419,13598,5.33254902,32.45346062,2024/8/29,255,2024/9/13,297812060,0.5,123.6,116.79
213,2024/9/5,2464,24642,盟立二,19.6,10,3,無擔保,6,8500,103,2024/9/3,86.3,80,1.0444,107.875,115.57,0.071332561,117.64,0.090521437,中信證券,其他電子業,625,23634,2.780470588,37.8144,2024/8/30,850,2024/9/16,999915970,0.5,138.66,117.64
214,2024/9/12,1781,17813,合世三,4.7,2,3,有擔保,7,1880,100,2024/9/10,17.4,17.3,1.0405,100.5780347,100.75,0.00170977,112.91,0.12261092,華南永昌,生技醫療業,177,5036,2.678723404,28.4519774,2024/9/6,188,2024/9/24,212264520,0.5,119.15,112.91
215,2024/9/18,6182,61828,合晶八,54.3,15,5,無擔保,6,12750,102.2,2024/9/13,32,33.8,1.02,94.67455621,102.2,0.0794875,104.51,0.103886875,富邦證券,半導體業,231,11642,0.913098039,50.3982684,2024/9/11,1275,2024/9/27,1166868950,0.5,421.12,102.2
216,2024/9/19,1609,16095,大亞五,77.4,20,5,無擔保,5,17250,100,2024/9/16,49.9,53.1,1.06,93.97363465,105.51,0.122761723,107.46,0.143512224,凱基證券,電器電纜,796,45670,2.647536232,57.37437186,2024/9/12,1725,2024/9/30,1853764930,0.5,120,107.46
217,2024/9/24,8147,81473,正凌三,3.6,3,3,無擔保,6,2550,102,2024/9/20,143,134.6,1.02,106.2407132,115.66,0.08865986,117.36,0.104661259,中信證券,電子零組件業,475,13185,5.170588235,27.75789474,2024/9/18,255,2024/10/3,299269370,0.5,123.88,117.36
218,2024/9/26,2383,23837,台光電七,34.5,30,5,無擔保,3,27000,105,2024/9/24,461.5,490.7,1.05,94.0493173,108.38,0.152374128,110.94,0.179593889,凱基證券,電子零組件業,1162,61583,2.280851852,52.99741824,2024/9/20,2700,2024/10/9,2995433350,0.5,125,110.94
219,2024/10/1,6425,64251,易發一,4.4,2,3,有擔保,8,1800,100,2024/9/27,66.6,61,1.0204,109.1803279,120,0.099099099,123.5,0.131156156,福邦證券,電機機械,327,10116,5.62,30.93577982,2024/9/25,180,2024/10/15,222304040,0.5,127,123.5
220,2024/10/1,6197,61973,佳必琪三,12.2,10,3,無擔保,5,8500,102,2024/9/27,168.5,160,1.0224,105.3125,115.6,0.09768546,117.45,0.115252226,元大證券,電子零組件業,789,30593,3.599176471,38.77439797,2024/9/25,850,2024/10/15,998337590,0.5,150,117.45
221,2024/10/1,6863,68631,永道一KY,7.4,10,3,無擔保,5,8500,105,2024/9/27,287,305.5,1.02,93.94435352,108.88,0.158983972,111.46,0.186447038,富邦證券,通信網路業,634,23056,2.712470588,36.3659306,2024/9/25,850,2024/10/15,947375530,0.5,188,111.46
222,2024/10/8,3516,35161,亞帝歐一,4.36,3.5,3,有擔保,7,2975,101,2024/9/30,27.2,26.7,1.0322,101.8726592,107.83,0.058478309,109.62,0.076049265,富邦證券,光電業,88,5102,1.714957983,57.97727273,2024/9/26,297,2024/10/18,326126490,0.5,116.1,109.62
223,2024/10/8,2548,25484,華固四,30.45,20,5,無擔保,4,18000,102,2024/10/1,135.5,136.3,1.02,99.41305943,102.56,0.031655203,104.83,0.054489225,富邦證券,建材營造業,425,27512,1.528444444,64.73411765,2024/9/27,1800,2024/10/18,1887028900,0.5,129.99,104.83
224,2024/10/8,3013,30134,晟銘電四,20.5,5,3,有擔保,6,4250,101,2024/10/3,123.5,141.5,1.021,87.27915194,111.69,0.279687045,114.01,0.306268421,中信證券,電腦及週邊設備業,444,14122,3.322823529,31.80630631,2024/10/1,425,2024/10/18,484532900,1,122,114.01
