序號,股票代號,CB代號,名稱,信用評等,擔保,發行規模,轉換價格,發行年期,詢圈競拍,發行券商,產業分類,產業地位,股本大小,發行價格,到期還本價格,訂價溢價率,掛牌日期,到期日期,掛牌最高,掛牌最低
875,3434,34341,哲固一,華南銀行,有擔保,1.5,30.3,3.0,競拍,華南永昌,光電業,台灣安全監控顯示器廠商,2.8,106.77,100.0,1.0253,2025-02-27,2028-02-27 00:00:00,219.0,107.0
876,3438,34381,類比一,0,,1.5,88.7,2.0,詢圈,,半導體業,台灣面板電源管理IC龍頭,,,,,2008-06-15,2010/06/15,114.5,95.0
877,3438,34382,類比二,台北富邦,有擔保,3.0,27.0,3.0,詢圈,兆豐證券,半導體業,台灣面板電源管理IC龍頭,4.72,100.0,103.03,1.0166,2013-11-27,2016/11/17,129.5,102.05
878,3452,34521,益通一,0,,10.0,112.0,5.0,詢圈,,,,,,,,2008-06-06,2013/06/06,118.05,69.0
879,3452,34522,益通二,0,,10.0,60.7,5.0,詢圈,,,,,,,,2009-08-04,2014/08/04,151.0,83.0
880,3452,34523,益通三,0,,10.0,64.3,5.0,詢圈,,,,,,,,2010-03-08,2015/03/08,110.0,65.0
881,3454,34541,晶睿一,0,,1.0,39.9,3.0,詢圈,,光電業,全球IP Camera製造大廠,,,,,2009-11-17,2012/11/17,237.0,102.4
882,3465,34651,祥業一 ,0,,,,,詢圈,,其他業電子業,專業音響OEM/ODM製造商,,,,,,,179.0,107.0
883,3465,34652,祥業二,大眾銀行,有擔保,0.5,9.02,3.0,詢圈,工銀證券,電子零組件業,專業音響OEM/ODM製造商,3.53,100.0,0.0,1.1,2014-02-27,2017/02/17,111.0,99.65
884,3465,34653,進泰電子三,中國信託,有擔保,6.0,232.4,3.0,詢圈,富邦證券,電子零組件業,專業音響OEM/ODM製造商,3.53,100.5,100.0,1.0422,2021-04-21,2024/04/21,125.8,98.9
885,3465,34654,進泰電子四,8,無擔保,4.0,98.0,3.0,詢圈,富邦證券,電子零組件業,專業音響OEM/ODM製造商,3.53,100.2,100.0,1.051,2023-05-11,2026/05/11,107.0,97.1
886,3479,34791,安勤一,0,,1.5,43.5,3.0,詢圈,,電腦及週邊設備業,仁寶轉投資工業電腦廠商,,,,,2010-12-11,2013/12/11,140.0,104.0
887,3479,34792,安勤二,0,,2.5,45.2,3.0,詢圈,,電腦及週邊設備業,仁寶轉投資工業電腦廠商,,,,,2010-12-24,2013/12/24,135.0,93.1
888,3479,34793,安勤三,5,無擔保,6.5,121.5,3.0,競拍,凱基證券,電腦及週邊設備業,仁寶轉投資工業電腦廠商,7.24,109.53,100.0,1.0225,2024-01-22,2027/01/22,123.0,100.5
889,3483,34831,力致一,0,,,,,詢圈,,電腦及週邊設備業,具風扇及熱導管自製能力的散熱廠商,,,,,,,245.0,106.5
890,3483,34832,力致二,6,無擔保,2.0,57.6,3.0,詢圈,永豐金證,電腦及週邊設備業,具風扇及熱導管自製能力的散熱廠商,8.29,100.0,0.0,1.02,2020-02-20,2023/02/20,169.0,91.0
891,3483,34833,力致三,6,無擔保,3.0,77.5,3.0,競拍,永豐金證,電腦及週邊設備業,具風扇及熱導管自製能力的散熱廠商,8.29,108.22,100.0,1.02,2021-09-29,2024/09/29,237.0,100.0
