序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
41,2021-07-09,8109,81091,博大一,7.8,3.0,3,無擔保,5,2550,100.0,2021-07-07,72.7,74.0,1.021,98.24,109.8,0.1176,111.42,0.1341,凱基證券,電子零組件業,559,12744,5.0,22.8,2021-07-05,255.0,2021-07-20,284123890.0,0.5,116.23,111.42
42,2021-07-23,2338,23383,光罩三,25.3,20.0,5,無擔保,7,17200,102.0,2021-07-21,99.0,88.8,1.024,111.49,112.56,0.0096,115.23,0.0336,凱基證券,半導體業,1154,33705,1.96,29.21,2021-07-19,1720.0,2021-08-03,1981888020.0,0.5,128.0,115.23
43,2021-07-23,3028,30284,增你強四,21.4,7.0,3,無擔保,6,5100,101.0,2021-07-21,27.65,29.0,1.034,95.34,107.33,0.1257,109.18,0.1451,群益證券,電子通路業,562,15559,3.05,27.69,2021-07-19,510.0,2021-08-03,556814850.0,0.5,115.2,109.18
44,2021-07-26,6477,64773,安集三,11.4,5.0,5,無擔保,6,4250,100.0,2021-07-22,45.8,45.3,1.022,101.1,103.88,0.0275,106.99,0.0582,福邦證券,光電業,321,7088,1.67,22.08,2021-07-20,425.0,2021-08-04,454703100.0,0.5,116.5,106.99
45,2021-07-26,6150,61505,撼訊五,4.5,7.0,3,無擔保,8,5950,100.0,2021-07-22,139.0,138.3,1.021,100.51,100.23,-0.0027,104.29,0.0376,宏遠證券,電腦及週邊設備業,333,7459,1.25,22.4,2021-07-20,595.0,2021-08-04,620518730.0,0.5,120.0,104.29
46,2021-08-04,6209,62092,今國光二,16.3,3.5,3,有擔保,6,2975,100.0,2021-08-02,33.6,35.0,1.036,96.0,113.3,0.1802,115.17,0.1997,國票證券,光電業,696,12874,4.33,18.5,2021-07-29,297.0,2021-08-13,342640330.0,0.5,123.5,115.17
47,2021-08-10,3533,35331,嘉澤一,10.3,10.0,3,無擔保,4,8800,102.0,2021-08-06,570.0,563.2,1.02,101.21,114.46,0.1309,115.45,0.1407,元大證券,電子零組件業,1352,37818,4.3,27.97,2021-08-04,880.0,2021-08-19,1015932860.0,0.6,163.5,115.45
48,2021-08-24,3339,33394,泰谷四,4.3,3.0,3,有擔保,8,2550,102.0,2021-08-20,18.8,19.8,1.02,94.95,109.3,0.1511,110.98,0.1688,富邦證券,光電業,315,7618,2.99,24.18,2021-08-18,255.0,2021-09-02,282999350.0,0.5,116.5,110.98
49,2021-08-31,6203,62031,海韻一,8.0,6.0,3,無擔保,5,5116,103.5,2021-08-27,97.2,95.8,1.02,101.46,111.1,0.095,112.84,0.1121,富邦證券,電子零組件業,550,13263,2.59,24.11,2021-08-25,511.0,2021-09-09,577269840.0,0.5,119.0,112.84
50,2021-08-31,1582,15823,信錦三,12.4,12.0,3,無擔保,4,10320,100.0,2021-08-27,70.3,66.8,1.02,105.24,108.3,0.0291,111.87,0.063,富邦證券,電子零組件業,640,18383,1.78,28.72,2021-08-25,1032.0,2021-09-09,1154510750.0,0.5,118.1,111.87
51,2021-09-07,3018,30184,同開四,7.3,3.5,3,有擔保,9,2975,102.0,2021-09-09,17.75,19.8,1.1,89.65,108.6,0.2114,110.84,0.2364,富邦證券,其他電子業,231,7623,2.56,33.0,2021-09-01,297.0,2021-09-16,329763570.0,0.5,115.11,110.84
52,2021-09-08,6190,61905,萬泰科五,14.0,3.0,3,無擔保,6,2550,101.0,2021-09-06,24.25,25.0,1.018,97.0,103.8,0.0701,106.4,0.0969,元富證券,通信網路業,162,4229,1.66,26.1,2021-09-02,255.0,2021-09-17,271310080.0,0.5,111.8,106.4
53,2021-09-14,3122,31221,笙泉一,3.8,2.0,3,有擔保,6,1700,102.0,2021-09-10,50.3,52.0,1.032,96.73,109.6,0.133,111.71,0.1549,群益證券,半導體業,249,4909,2.89,19.71,2021-09-08,170.0,2021-09-27,189899440.0,0.5,119.28,111.71
54,2021-09-14,3708,37083,上緯三,9.4,10.0,5,有擔保,6,8500,100.0,2021-09-10,91.4,99.0,1.069,92.32,106.33,0.1517,108.38,0.1739,元大證券,綠能環保,373,13269,1.56,35.57,2021-09-08,850.0,2021-09-27,921263960.0,0.5,113.94,108.38
55,2021-09-15,3708,37084,上緯四,9.4,10.0,5,無擔保,6,8500,100.0,2021-09-13,89.7,95.0,1.023,94.42,100.5,0.0644,103.45,0.0956,元大證券,綠能環保,180,9524,1.12,52.91,2021-09-09,850.0,2021-09-28,879359860.0,0.5,107.72,103.45
56,2021-09-15,8473,84732,山林水二,13.5,10.0,5,無擔保,6,8500,101.0,2021-09-13,35.95,38.0,1.053,94.61,101.0,0.0676,103.24,0.0913,兆豐證券,綠能環保,56,1597,0.19,28.52,2021-09-09,850.0,2021-09-28,164873020.0,0.5,106.8,101.0
57,2021-09-16,3483,34833,力致三,7.1,3.0,3,無擔保,6,2550,100.0,2021-09-14,83.4,83.6,1.02,99.76,106.5,0.0676,108.22,0.0848,永豐金證,電腦及週邊設備業,278,7976,3.13,28.69,2021-09-10,255.0,2021-09-29,275963920.0,0.5,113.1,108.22
58,2021-09-17,6275,62756,元山六,7.0,3.0,5,有擔保,6,2550,100.0,2021-09-15,28.6,30.0,1.062,95.33,108.6,0.1392,110.95,0.1638,第一金證,電子零組件業,257,6889,2.7,26.81,2021-09-13,255.0,2021-09-30,282924490.0,0.5,115.0,110.95
59,2021-10-01,6257,62574,矽格四,44.4,15.0,3,無擔保,4,12750,101.0,2021-09-29,58.4,65.4,1.03,89.3,104.6,0.1714,106.2,0.1893,凱基證券,半導體業,594,26059,2.04,43.87,2021-09-27,1275.0,2021-10-13,1353995740.0,0.5,110.5,106.2
60,2021-10-05,4714,47146,永捷六,13.5,3.0,5,有擔保,8,2680,101.0,2021-10-01,13.7,16.8,1.17,81.55,103.02,0.2633,105.37,0.2921,富邦證券,化學工業,142,3757,1.4,26.46,2021-09-29,268.0,2021-10-15,282394680.0,0.5,111.0,105.37
61,2021-10-07,8420,84201,明揚一,5.1,5.0,3,無擔保,6,4250,102.0,2022-09-28,67.5,75.0,1.02,90.0,102.38,0.1376,103.98,0.1553,台新證券,運動休閒,181,6931,1.63,38.29,2022-09-22,425.0,2022-10-07,437666000.0,0.5,106.0,102.98
62,2021-10-14,8103,81034,瀚荃四,7.9,5.0,3,無擔保,5,4250,101.0,2021-10-08,45.8,42.2,1.02,108.53,104.28,-0.0392,105.8,-0.0252,群益證券,電子零組件業,325,8572,2.02,26.38,2021-10-05,425.0,2021-10-21,449652530.0,0.5,114.15,105.8
63,2021-10-14,3576,35763,聯合再生三,151.0,30.0,3,有擔保,7,27000,102.0,2021-10-08,20.65,20.9,1.021,98.8,102.35,0.0359,104.18,0.0544,凱基證券,光電業,554,31011,1.15,55.98,2021-10-06,2700.0,2021-10-25,2812889950.0,0.5,114.7,104.18
64,2021-10-14,6552,65521,易華電一,8.3,5.0,5,有擔保,6,4250,102.5,2021-10-12,54.7,63.5,1.076,86.14,104.89,0.2176,106.63,0.2378,台新證券,半導體業,324,9921,2.33,30.62,2021-10-07,425.0,2021-10-25,453198380.0,0.5,115.0,106.63
65,2021-10-19,4739,47393,康普三,10.3,7.0,5,有擔保,5,6050,100.0,2021-10-15,123.0,110.0,1.051,111.82,113.89,0.0185,116.01,0.0375,福邦證券,化學工業,795,22128,3.66,27.83,2021-10-13,605.0,2021-10-28,701846690.0,0.5,125.11,116.01
66,2021-10-20,6509,65095,聚和五,17.3,3.0,3,無擔保,5,2600,102.0,2021-10-18,56.5,55.9,1.02,101.07,107.99,0.0684,110.12,0.0895,台新證券,化學工業,381,9974,3.84,26.18,2021-10-14,260.0,2021-10-29,286317270.0,0.5,123.9,110.12
67,2021-10-27,4714,47147,永捷七,17.8,2.0,3,無擔保,8,1785,100.0,2021-10-25,14.25,14.0,1.02,101.79,102.38,0.0058,103.76,0.0194,富邦證券,化學工業,161,3912,2.19,24.3,2021-10-21,178.0,2021-11-05,185211190.0,0.5,109.8,103.76
68,2021-11-02,6616,66162,特昇二-KY,3.6,1.2,3,無擔保,6,1020,101.0,2021-10-29,22.3,22.8,1.05,97.81,101.0,0.0326,101.76,0.0404,第一金證,居家生活,44,576,0.56,13.09,2021-10-27,102.0,2021-11-11,50877860.0,0.5,107.0,101.0
69,2021-11-11,1609,16094,大亞四,59.5,12.0,5,無擔保,5,10320,101.0,2021-11-09,27.6,28.8,1.06,95.83,106.89,0.1154,108.31,0.1302,凱基證券,電器電纜,1164,41122,3.98,35.33,2021-11-05,1032.0,2021-11-22,1117729060.0,0.5,116.5,108.31
70,2021-11-11,6283,62832,淳安二,14.8,3.0,3,有擔保,6,2550,100.0,2021-11-09,49.1,55.1,1.02,89.11,109.28,0.2263,110.78,0.2432,中信證券,其他電子業,844,17102,6.71,20.26,2021-11-05,255.0,2021-11-22,282500280.0,1.0,120.5,110.78
71,2021-11-16,2069,20694,運錩四,15.6,3.0,3,無擔保,7,2550,100.0,2021-11-12,35.55,31.5,1.024,112.86,109.91,-0.0261,111.6,-0.0111,台新證券,鋼鐵工業,393,8160,3.2,20.76,2021-11-10,255.0,2021-11-25,284589610.0,0.5,117.99,111.6
72,2021-11-29,2066,20661,世德一,3.7,4.0,3,無擔保,6,3410,103.0,2021-11-25,61.6,63.1,1.02,97.62,109.1,0.1176,110.21,0.1289,台新證券,電機機械,616,15035,4.41,24.41,2021-11-23,341.0,2021-12-08,375808410.0,0.5,113.14,110.21
73,2021-11-29,6578,65781,達邦蛋白一,3.0,2.0,3,有擔保,6,1700,101.0,2021-11-25,17.9,18.5,1.048,96.76,110.78,0.1449,112.02,0.1577,兆豐證券,農業科技業,413,9184,5.4,22.24,2021-11-23,170.0,2021-12-08,190431500.0,0.5,115.1,112.02
74,2021-12-01,8927,89276,北基六,19.8,3.0,3,無擔保,7,2700,100.0,2021-11-29,33.15,35.5,1.05,93.38,100.0,0.0709,103.04,0.1034,合庫證券,油電燃氣業,173,2542,0.94,14.69,2021-11-25,270.0,2021-12-10,261927730.0,0.5,111.38,100.0
75,2021-12-01,6654,66541,天正國際一,3.7,4.0,3,有擔保,6,3400,102.5,2021-11-29,103.0,98.0,1.023,105.1,115.1,0.0951,116.41,0.1076,凱基證券,其他電子業,912,22722,6.68,24.91,2021-11-25,340.0,2021-12-10,395792660.0,0.5,121.96,116.41
76,2021-12-09,1909,19094,榮成四,128.0,7.0,3,無擔保,7,5950,102.0,2021-12-07,24.55,26.1,1.07,94.06,107.0,0.1376,108.58,0.1544,台新證券,造紙工業,720,19387,3.26,26.93,2021-12-03,595.0,2021-12-20,646048920.0,0.5,120.0,108.58
77,2021-12-22,4566,45662,時碩二,7.2,6.3,3,無擔保,5,5355,101.0,2021-12-20,46.05,47.0,1.043,97.98,110.08,0.1235,111.8,0.1411,凱基證券,電機機械,811,23230,4.34,28.64,2021-12-16,535.0,2022-01-03,598662850.0,0.5,305.0,111.8
78,2021-12-29,3268,32681,海德威一,3.3,2.0,3,有擔保,7,1700,104.0,2021-12-27,29.3,29.2,1.025,100.34,114.93,0.1454,115.76,0.1536,合庫證券,半導體業,740,14059,8.27,19.0,2021-12-23,170.0,2022-01-10,196788580.0,0.5,120.0,115.76
79,2022-01-03,2061,20612,風青二,4.7,1.0,3,有擔保,8,850,100.0,2021-12-29,22.9,22.7,1.02,100.88,117.39,0.1636,118.94,0.179,中信證券,電器電纜,465,8057,9.48,17.33,2021-12-27,85.0,2022-01-12,101097900.0,1.0,122.11,118.94
80,2022-01-07,3138,31381,耀登一,4.7,4.0,3,有擔保,7,3400,100.0,2022-01-05,237.5,230.0,1.038,103.26,118.45,0.1471,121.0,0.1718,國票證券,通信網路業,947,22623,6.65,23.89,2022-01-03,340.0,2022-01-18,411409590.0,0.5,200.0,121.0
81,2022-01-10,6715,67151,嘉基一,5.7,3.0,3,無擔保,5,2550,100.0,2022-01-06,123.0,123.4,1.02,99.68,114.2,0.1457,116.22,0.166,中信證券,電子零組件業,581,15355,6.02,26.43,2022-01-04,255.0,2022-01-19,296356590.0,0.5,118.89,116.22
82,2022-01-12,8147,81472,正凌二,3.1,2.0,3,無擔保,6,1700,102.0,2022-01-10,59.6,63.8,1.02,93.42,109.0,0.1668,111.28,0.1912,富邦證券,電子零組件業,230,4939,2.91,21.47,2022-01-06,170.0,2022-01-21,189168260.0,0.5,115.25,111.28
83,2022-01-13,1532,15324,勤美四,37.6,15.0,3,無擔保,6,12750,100.5,2022-01-11,33.05,34.2,1.04,96.64,108.0,0.1176,110.04,0.1387,台新證券,電機機械,757,34721,2.72,45.87,2022-01-07,1275.0,2022-01-24,1403055610.0,0.5,117.5,110.04
84,2022-01-14,8367,83671,建新一,8.1,7.0,3,無擔保,6,5950,100.0,2022-01-12,49.0,55.0,1.028,89.09,104.8,0.1763,106.94,0.2003,凱基證券,航運業,459,20488,3.44,44.64,2022-01-10,595.0,2022-01-25,636313800.0,0.5,116.0,106.94
85,2022-01-17,1533,15332,車王電二,9.9,10.0,3,無擔保,6,8500,100.0,2022-01-17,60.7,73.5,1.05,82.59,102.51,0.2413,109.58,0.3269,凱基證券,汽車工業,422,20345,2.39,48.21,2022-01-11,850.0,2022-01-26,896873940.0,0.5,115.0,105.51
86,2022-02-11,6187,61874,萬潤四,8.3,10.0,3,無擔保,5,8500,103.0,2022-02-09,126.0,127.0,1.027,99.21,111.46,0.1234,110.58,0.1146,台新證券,其他電子業,1279,38586,4.54,30.17,2022-02-07,850.0,2022-02-22,958665010.0,0.5,122.5,112.78
87,2022-02-17,1474,14742,弘裕二,13.0,3.0,3,無擔保,6,2550,102.0,2022-01-17,15.7,16.0,1.022,98.13,106.8,0.0884,109.01,0.1109,兆豐證券,紡織纖維,289,6023,2.36,20.84,2022-01-11,255.0,2022-01-26,277970700.0,0.5,120.0,109.01
88,2022-02-18,1617,16173,榮星三,14.4,2.0,5,無擔保,6,1800,100.0,2022-02-16,17.95,18.5,1.031,97.03,111.0,0.144,111.8,0.1523,台新證券,電器電纜,520,11451,6.36,22.02,2022-02-14,180.0,2022-03-02,201234760.0,0.5,113.1,111.8
89,2022-03-11,2065,20652,世豐二,4.6,6.0,3,無擔保,5,5100,101.0,2022-03-09,50.3,61.0,1.142,82.46,106.21,0.288,107.64,0.3054,富邦證券,鋼鐵工業,599,17957,3.52,29.98,2022-03-07,510.0,2022-03-22,548940450.0,0.5,113.0,107.64
90,2022-03-16,2012,20121,春雨一,28.8,7.0,3,有擔保,6,5950,100.0,2022-03-14,31.55,37.5,1.15,84.13,108.66,0.2915,111.31,0.323,國票證券,鋼鐵工業,434,13173,2.21,30.35,2022-03-10,595.0,2022-03-25,662286860.0,0.5,115.68,111.31
91,2022-03-16,2012,20122,春雨二,28.8,5.0,3,有擔保,6,4250,100.0,2022-03-14,31.55,37.5,1.15,84.13,108.76,0.2927,111.51,0.3254,國票證券,鋼鐵工業,351,9992,2.35,28.47,2022-03-10,425.0,2022-03-25,473930510.0,0.5,115.3,111.51
92,2022-03-16,2012,20123,春雨三,28.8,4.0,3,有擔保,6,3400,100.0,2022-03-14,31.55,37.5,1.15,84.13,108.66,0.2915,111.25,0.3223,國票證券,鋼鐵工業,282,7714,2.27,27.35,2022-03-10,340.0,2022-03-25,378254850.0,0.5,115.58,111.25
93,2022-03-25,3707,37074,漢磊四,31.4,10.0,3,有擔保,7,8870,101.0,2022-03-23,130.5,118.8,1.025,109.85,123.26,0.1221,124.85,0.1366,凱基證券,半導體業,1402,36687,4.14,26.17,2022-03-21,887.0,2022-04-07,1107443300.0,1.0,136.81,124.85
94,2022-03-29,6670,66701,復盛一,13.1,15.0,3,無擔保,3,12750,102.0,2022-03-25,202.0,208.0,1.035,97.12,110.68,0.1397,112.01,0.1534,富邦證券,運動休閒,1147,39987,3.14,34.86,2022-03-23,1275.0,2022-04-11,1428079540.0,0.5,124.0,112.01
95,2022-04-19,3548,35481,兆利一,6.0,4.0,3,無擔保,5,3425,101.0,2022-04-15,65.4,72.0,1.029,90.83,108.52,0.1947,109.57,0.2063,永豐金證,電子零組件業,549,15913,4.65,28.99,2022-04-13,342.0,2022-04-28,375282180.0,0.5,112.13,109.57
96,2022-04-26,3687,36871,歐買尬一,3.0,6.0,3,有擔保,5,5100,102.0,2022-04-22,147.5,150.6,1.046,97.94,111.56,0.139,113.52,0.1591,第一金證,數位雲端,572,16369,3.21,28.62,2022-04-20,510.0,2022-05-06,578964060.0,0.5,118.5,113.52
97,2022-04-29,4763,47633,材料KY三,5.9,5.0,5,無擔保,5,4250,101.0,2022-04-25,98.6,102.1,1.02,96.57,101.0,0.0459,102.73,0.0638,富邦證券,化學工業,101,2710,0.64,26.83,2022-04-25,425.0,2022-05-11,278409540.0,0.5,111.3,101.0
98,2022-05-24,1342,13421,八貫一,6.8,2.0,3,有擔保,6,1780,100.0,2022-05-20,73.6,72.0,1.038,102.22,111.52,0.091,112.93,0.1048,元大證券,其他業,406,9568,5.38,23.57,2022-05-18,178.0,2022-06-02,201013900.0,0.5,121.57,112.93
99,2022-05-25,6570,65701,維田一,3.0,1.5,3,無擔保,6,1275,100.0,2022-05-23,40.5,40.8,1.02,99.26,103.1,0.0386,104.61,0.0538,中信證券,電腦及週邊設備業,158,3328,2.61,21.06,2022-05-19,127.0,2022-06-06,133372770.0,0.5,111.55,104.61
100,2022-05-27,5288,52881,豐祥一KY,6.6,5.0,3,無擔保,4,4260,100.0,2022-05-25,152.0,153.0,1.03,99.35,100.79,0.0145,103.82,0.045,元大證券,電機機械,168,8179,1.92,48.68,2022-05-23,426.0,2022-06-08,442272670.0,0.5,116.1,103.82
101,2022-06-02,6134,61342,萬旭二,7.3,2.0,3,有擔保,7,1720,103.0,2022-05-31,25.0,21.6,1.02,115.74,113.89,-0.016,116.23,0.0042,中信證券,電子零組件業,242,5920,3.44,24.46,2022-05-27,172.0,2022-06-14,199908830.0,1.0,122.2,116.23
102,2022-06-10,3645,36451,達邁一,13.1,6.0,3,無擔保,6,5220,101.0,2022-06-08,60.0,57.0,1.027,105.26,106.19,0.0088,108.67,0.0324,元大證券,電子零組件業,406,13737,2.63,33.83,2022-06-06,522.0,2022-06-21,567243770.0,0.5,124.5,108.67
103,2022-06-16,4168,41683,醣聯三,10.9,4.0,3,有擔保,7,3400,100.0,2022-06-14,26.8,27.5,1.044,97.45,102.4,0.0507,105.16,0.0791,台新證券,生技醫療業,205,5075,1.49,24.76,2022-06-10,340.0,2022-06-27,357534190.0,0.5,113.95,105.16
104,2022-06-28,2497,24972,怡利電二,11.9,3.0,3,有擔保,7,2550,100.0,2022-06-24,80.3,85.0,1.025,94.47,103.62,0.0968,104.97,0.1111,國票證券,汽車工業,299,7132,2.8,23.85,2022-06-22,255.0,2022-07-07,267664620.0,0.5,111.99,104.97
105,2022-07-11,8938,89383,明安三,13.5,10.0,3,無擔保,4,8500,102.0,2022-07-07,76.5,81.0,1.023,94.44,102.0,0.08,102.87,0.0892,台新證券,運動休閒,150,7124,0.84,47.49,2022-07-05,850.0,2022-07-20,732872950.0,0.5,106.6,102.0
106,2022-07-12,6477,64774,安集四,11.4,10.0,5,無擔保,6,8500,100.0,2022-07-08,53.3,53.9,1.02,98.89,100.0,0.0113,100.91,0.0205,福邦證券,光電業,249,12402,1.46,49.81,2022-07-06,850.0,2022-07-21,857727990.0,0.5,107.0,100.91
107,2022-07-12,3209,32094,全科四,18.9,6.0,3,無擔保,6,5100,101.0,2022-07-08,36.3,38.2,1.02,95.03,101.0,0.0629,101.31,0.0661,富邦證券,電子通路業,35,942,0.18,26.91,2022-07-06,510.0,2022-07-21,95431360.0,0.5,106.25,101.0
108,2022-07-19,2641,26415,正德五,18.9,6.0,3,無擔保,6,5138,101.0,2022-07-15,19.85,19.99,1.02,99.3,101.0,0.0171,101.18,0.0189,台中銀證,航運業,91,2406,0.47,26.44,2022-07-13,513.0,2022-07-28,243437180.0,0.5,105.37,101.0
109,2022-08-10,8442,84421,威宏KY一,6.0,3.0,3,無擔保,6,2569,102.0,2022-08-08,65.0,65.0,1.02,100.0,103.95,0.0395,105.71,0.0571,富邦證券,其他業,278,7034,2.74,25.3,2022-08-04,256.0,2022-08-19,271580070.0,0.5,115.0,105.71
110,2022-08-16,5245,52451,智晶一,4.5,3.0,3,有擔保,6,2700,102.0,2022-08-12,64.2,64.9,1.02,98.92,105.62,0.0677,107.29,0.0846,合庫證券,光電業,422,9586,3.55,22.72,2022-08-10,270.0,2022-08-25,289688740.0,1.0,111.0,107.29
111,2022-08-25,4555,45553,氣立三,6.7,6.0,3,有擔保,6,5100,103.5,2022-08-23,57.2,60.0,1.056,95.33,103.5,0.0857,104.42,0.0953,富邦證券,電機機械,186,4567,0.9,24.55,2022-08-19,510.0,2022-09-05,476870940.0,0.5,107.11,103.5
112,2022-08-31,6469,64692,大樹二,5.4,10.0,3,無擔保,4,8500,100.0,2022-08-31,295.0,304.98,1.02,96.73,101.89,0.0534,104.21,0.0774,統一證券,生技醫療業,377,15124,1.78,40.12,2022-08-25,850.0,2022-09-12,885772730.0,0.5,120.0,104.21
113,2022-09-19,6472,64722,保瑞二,5.4,8.0,5,有擔保,6,6800,100.0,2022-09-19,312.5,300.0,1.02,104.17,104.1,-0.0006,106.3,0.0205,台新證券,生技醫療業,577,14104,2.07,24.44,2022-09-13,680.0,2022-09-28,722827730.0,0.5,112.1,106.3
114,2022-09-19,2358,23581,廷鑫一,12.5,3.0,3,有擔保,8,2625,103.0,2022-09-19,14.9,15.15,1.042,98.35,105.6,0.0737,106.63,0.0842,合庫證券,其他電子業,289,7052,2.69,24.4,2022-09-13,262.0,2022-09-28,279914920.0,1.0,109.0,106.63
115,2022-09-21,4416,44163,三圓三,6.0,10.0,5,有擔保,8,9500,100.5,2022-09-21,80.7,81.0,1.023,99.63,100.5,0.0087,102.31,0.0269,第一金證,建材營造業,180,7066,0.74,39.26,2022-09-15,950.0,2022-09-30,722931140.0,0.5,106.1,100.5
116,2022-09-22,4438,44382,廣越二,10.3,15.0,3,無擔保,4,12845,101.0,2022-09-22,130.5,138.0,1.027,94.57,101.0,0.068,101.64,0.0748,凱基證券,紡織纖維,302,13258,1.03,43.9,2022-09-16,1284.0,2022-10-03,1305597020.0,0.5,106.62,101.64
117,2022-10-13,4540,45401,全球傳動一,9.4,5.0,3,有擔保,6,4250,101.0,2022-10-13,33.9,40.5,1.05,83.7,101.38,0.2112,102.23,0.2213,凱基證券,電機機械,268,9022,2.12,33.66,2022-10-06,425.0,2022-10-24,434478090.0,0.5,106.8,102.23
118,2022-10-20,6190,61906,萬泰科六,14.0,8.0,3,無擔保,6,6800,101.0,2022-10-20,32.55,36.2,1.016,89.92,101.0,0.1233,101.89,0.1332,元富證券,通信網路業,90,3027,0.45,33.63,2022-10-14,680.0,2022-10-31,239139410.0,0.5,105.56,101.0
119,2022-11-09,1599,15991,宏佳騰一,7.6,3.0,3,有擔保,5,2550,101.0,2022-11-09,41.0,43.3,1.05,94.69,101.88,0.076,103.07,0.0885,富邦證券,電機機械,159,4213,1.65,26.5,2022-11-03,255.0,2022-11-18,262828070.0,0.5,108.0,103.07
120,2022-11-11,3290,32903,東浦三,10.0,3.0,3,有擔保,7,2700,100.0,2022-11-11,21.35,20.4,1.02,104.66,106.5,0.0176,106.85,0.021,統一證券,電子零組件業,239,9318,3.45,38.99,2022-11-07,270.0,2022-11-22,288487550.0,0.5,108.11,106.85
121,2022-11-11,8422,84221,可寧衛一,10.9,25.0,5,無擔保,4,21250,101.0,2022-11-11,170.0,170.0,1.02,100.0,101.02,0.0102,102.37,0.0237,台新證券,綠能環保,374,22182,1.04,59.31,2022-11-07,2125.0,2022-11-22,2175308810.0,0.5,106.22,102.37
122,2022-11-17,5225,52251,東科KY一,6.1,3.5,3,有擔保,6,3150,101.0,2022-11-17,40.5,39.2,1.03,103.32,104.89,0.0152,106.42,0.03,凱基證券,其他電子業,302,9454,3.0,31.3,2022-11-11,315.0,2022-11-28,335224810.0,0.5,110.0,106.42
123,2022-11-28,4744,47442,皇將二,4.7,1.5,3,有擔保,6,1380,100.0,2022-11-28,25.85,27.0,1.038,95.74,103.89,0.0851,104.82,0.0948,福邦證券,生技醫療業,210,5457,3.95,25.99,2022-11-22,138.0,2022-12-07,144656600.0,1.0,107.11,104.82
124,2022-12-01,3023,30238,信邦八,23.3,10.0,3,無擔保,4,8500,101.0,2022-12-01,269.0,286.5,1.04,93.89,103.2,0.0991,104.5,0.113,台新證券,電子零組件業,408,18825,2.21,46.14,2022-11-25,850.0,2022-12-12,888290480.0,0.5,107.89,104.5
125,2022-12-01,4540,45402,全球傳動二,9.4,3.0,3,無擔保,6,2550,100.0,2022-12-01,35.75,37.0,1.022,96.62,100.0,0.035,100.17,0.0367,凱基證券,電機機械,87,3340,1.31,38.39,2022-11-25,255.0,2022-12-12,255426270.0,0.5,102.1,100.17
126,2022-12-05,6593,65931,台灣銘版一,2.0,3.0,3,有擔保,7,2550,100.0,2022-12-05,39.75,37.8,1.02,105.16,107.7,0.0242,109.71,0.0433,統一證券,資訊服務業,184,7133,2.8,38.77,2022-11-29,255.0,2022-12-14,279766660.0,0.5,120.0,109.71
127,2022-12-20,4968,49681,立積一,6.3,3.0,3,無擔保,4,2550,101.0,2022-07-18,138.0,137.2,1.02,100.58,103.38,0.0278,104.98,0.0437,台新證券,半導體業,228,5931,2.33,26.01,2022-07-14,255.0,2022-07-29,267710450.0,0.5,110.2,104.98
128,2022-12-27,2230,22304,泰茂四,4.0,3.0,3,有擔保,8,2700,100.0,2022-12-23,30.1,29.0,1.026,103.79,109.95,0.0593,110.42,0.0638,統一證券,電機機械,329,8984,3.33,27.31,2022-12-21,270.0,2023-01-06,298144150.0,0.5,111.5,110.42
129,2022-12-30,6486,64862,互動二,3.9,6.0,3,有擔保,6,5100,101.0,2022-12-28,62.8,60.7,1.02,103.46,104.23,0.0074,106.15,0.026,富邦證券,通信網路業,302,8601,1.69,28.48,2022-12-26,510.0,2023-01-11,541348980.0,0.5,120.0,106.15
130,2023-02-09,1589,15894,永冠四KY,11.1,15.0,5,無擔保,6,13500,100.0,2023-02-07,67.7,62.3,1.021,108.67,100.51,-0.0751,104.23,-0.0408,永豐金證,電機機械,409,15003,1.11,36.68,2023-02-03,1350.0,2023-02-20,1407155910.0,0.5,112.52,104.23
131,2023-02-24,3533,35332,嘉澤二,10.3,10.0,3,無擔保,4,8800,102.0,2023-02-22,818.0,862.1,1.02,94.88,106.59,0.1234,108.14,0.1397,元大證券,電子零組件業,837,34481,3.92,41.2,2023-02-20,880.0,2023-03-09,951609470.0,0.6,120.0,108.14
132,2023-03-10,3663,36633,鑫科三,7.4,2.0,3,有擔保,6,1700,101.5,2023-03-08,30.5,30.9,1.035,98.71,108.11,0.0953,109.8,0.1124,富邦證券,其他電子業,355,9433,5.55,26.57,2023-03-06,170.0,2023-03-21,186655190.0,0.5,129.0,109.8
133,2023-03-10,5450,54501,南良一,12.2,5.0,5,有擔保,7,4250,100.5,2023-03-08,21.15,18.8,1.026,112.5,113.28,0.0069,116.23,0.0332,富邦證券,其他業,456,13528,3.18,29.67,2023-03-06,425.0,2023-03-21,493967970.0,0.5,125.65,116.23
134,2023-04-17,4123,41236,晟德六,45.9,7.0,5,有擔保,6,5950,100.0,2023-04-13,48.3,48.0,1.041,100.63,109.1,0.0842,110.08,0.094,元富證券,生技醫療業,681,21349,3.59,31.35,2023-04-11,595.0,2023-04-26,654998900.0,0.5,125.6,110.08
