序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
146,2023-07-20,2066,20662,世德二,3.7,4.0,3,無擔保,6,3400,101.5,2023-07-18,103.0,101.0,1.018,101.98,109.0,0.0688,109.91,0.0778,統一證券,電機機械,582,14802,4.35,25.43,2023-07-14,340.0,2023-07-31,373682990.0,0.5,113.0,109.91
147,2023-07-20,9958,99586,世紀剛六,23.1,15.0,3,無擔保,5,13410,100.0,2023-07-18,141.5,141.0,1.02,100.35,105.33,0.0496,107.77,0.0739,永豐金證,鋼鐵工業,766,25776,1.92,33.65,2023-07-14,1341.0,2023-07-31,1445189830.0,0.5,128.0,107.77
148,2023-07-26,6472,64723,保瑞三,5.4,17.0,5,無擔保,6,14450,100.0,2023-04-24,1010.0,808.0,1.03,125.0,115.74,-0.0741,119.35,-0.0452,台新證券,生技醫療業,801,24035,1.66,30.01,2023-07-20,1445.0,2023-08-04,1724565020.0,0.5,132.5,119.35
149,2023-08-07,2236,22362,百達二KY,4.6,2.0,3,無擔保,7,1700,100.5,2023-08-07,64.5,66.0,1.031,97.73,101.52,0.0388,103.79,0.062,台新證券,汽車工業,137,2540,1.49,18.54,2023-08-03,170.0,2023-08-18,176447120.0,0.5,110.0,103.79
150,2023-08-14,3088,30882,艾訊二,8.3,8.0,3,無擔保,5,7020,100.0,2023-08-15,97.7,109.5,1.023,89.22,104.2,0.1679,106.0,0.188,凱基證券,電腦及週邊設備業,643,24370,3.47,37.9,2023-08-11,702.0,2023-08-28,744123380.0,0.5,115.0,106.0
151,2023-08-16,6796,67961,晉弘一,3.5,2.0,3,無擔保,7,1780,100.0,2023-08-14,106.5,123.0,1.049,86.59,102.55,0.1844,104.16,0.203,福邦證券,生技醫療業,213,7289,4.09,34.22,2023-08-10,178.0,2023-08-25,185403370.0,0.5,115.0,104.16
152,2023-08-21,1586,15864,和勤四,8.4,2.0,3,有擔保,7,1720,100.0,2023-08-17,31.4,33.39,1.05,94.04,106.11,0.1283,107.2,0.1399,合庫證券,電機機械,180,4730,2.75,26.28,2023-08-15,172.0,2023-08-30,184381070.0,1.0,112.22,107.2
153,2023-08-31,2436,24361,偉詮電一,17.8,11.0,3,無擔保,5,9350,101.0,2023-08-29,66.7,61.2,1.029,108.99,110.1,0.0102,112.15,0.029,台新證券,半導體業,784,26455,2.83,33.74,2023-08-25,935.0,2023-09-11,1048604110.0,0.5,119.91,112.15
154,2023-09-08,1526,15261,日馳一,6.0,5.0,3,無擔保,6,4250,101.0,2023-09-06,36.05,38.0,1.068,94.87,102.12,0.0764,103.81,0.0943,富邦證券,電機機械,284,6527,1.54,22.98,2023-09-04,425.0,2023-09-19,441204380.0,0.5,108.2,103.81
155,2023-09-11,2906,29061,高林一,20.9,10.0,3,無擔保,5,9000,100.0,2023-09-07,17.85,18.0,1.021,99.17,104.23,0.0511,105.28,0.0616,元富證券,貿易百貨業,597,20869,2.32,34.96,2023-09-05,900.0,2023-09-20,947521540.0,0.5,110.82,105.28
